county_name,article,tax_allocation_point_of_sale,gs_105_524_adjustments,tax_allocation_other_1,article_42_adjustment_2,cost_of_collection_3,per_capita_adjustments,gs_105_486_b_adjustment_4,distributable_proceeds,month,year,date,fiscal_year
Bladen,42-Food,0,0,22543.68,0,-75.3,0,974.3,23442.68,july,2016,2016-07-01,2017
Bladen,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bladen,44,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bladen,44 *524(c.),0,72772.12,0,0,-243.06,0,0,72529.06,july,2016,2016-07-01,2017
Bladen,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bladen,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Bladen,Total,409082.09,60509.91,85388.97,-1061.6,-1850.1,102132.95,10664.86,664867.08,july,2016,2016-07-01,2017
Brunswick,39,1769998.88,-53055.6,0,0,-5734.59,0,0,1711208.69,july,2016,2016-07-01,2017
Brunswick,39-Food,0,0,126877.48,0,-423.77,0,0,126453.71,july,2016,2016-07-01,2017
Brunswick,40,884999.45,-26527.8,0,0,-2867.3,-181056.21,117225.31,791773.45,july,2016,2016-07-01,2017
Brunswick,40-Food,0,0,75653.24,0,-252.68,0,13103.37,88503.93,july,2016,2016-07-01,2017
Brunswick,42,884999.45,-26527.8,0,-9186.61,-2836.61,0,0,846448.43,july,2016,2016-07-01,2017
Brunswick,42-Food,0,0,75653.24,0,-252.68,0,13103.37,88503.93,july,2016,2016-07-01,2017
Brunswick,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Brunswick,44,80.5,0,0,0,-0.27,0,0,80.23,july,2016,2016-07-01,2017
Brunswick,44 *524(c.),0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Brunswick,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Brunswick,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Brunswick,Total,3540078.28,-106111.2,278183.96,-9186.61,-12367.9,-181056.21,143432.05,3652972.37,july,2016,2016-07-01,2017
Buncombe,39,4413868.47,-132305.43,0,0,-14300.42,0,0,4267262.62,july,2016,2016-07-01,2017
Buncombe,39-Food,0,0,427805.2,0,-1428.87,0,0,426376.33,july,2016,2016-07-01,2017
Buncombe,40,2206933.75,-66152.7,0,0,-7150.21,-695191.3,91236.98,1529676.52,july,2016,2016-07-01,2017
Buncombe,40-Food,0,0,161326.68,0,-538.83,0,10198.41,170986.26,july,2016,2016-07-01,2017
Buncombe,42,2206933.75,-66152.7,0,-22908.77,-7073.69,0,0,2110798.59,july,2016,2016-07-01,2017
Buncombe,42-Food,0,0,161326.68,0,-538.83,0,10198.41,170986.26,july,2016,2016-07-01,2017
Buncombe,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Buncombe,44,1741.79,0,0,0,-5.82,0,0,1735.97,july,2016,2016-07-01,2017
Buncombe,44 *524(c.),0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Buncombe,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Buncombe,46,1096968.51,0,0,0,-3663.87,0,0,1093304.64,july,2016,2016-07-01,2017
Buncombe,Total,9926446.27,-264610.83,750458.56,-22908.77,-34700.54,-695191.3,111633.8,9771127.19,july,2016,2016-07-01,2017
Burke,39,647843.51,-19419.07,0,0,-2098.94,0,0,626325.5,july,2016,2016-07-01,2017
Burke,39-Food,0,0,143772.92,0,-480.2,0,0,143292.72,july,2016,2016-07-01,2017
Burke,40,323921.78,-9709.53,0,0,-1049.47,197451.06,11896.49,522510.33,july,2016,2016-07-01,2017
Burke,40-Food,0,0,57267.36,0,-191.27,0,1329.78,58405.87,july,2016,2016-07-01,2017
Burke,42,323921.78,-9709.53,0,-3362.43,-1038.24,0,0,309811.58,july,2016,2016-07-01,2017
Burke,42-Food,0,0,57267.36,0,-191.27,0,1329.78,58405.87,july,2016,2016-07-01,2017
Burke,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Burke,44,45.74,0,0,0,-0.15,0,0,45.59,july,2016,2016-07-01,2017
Burke,44 *524(c.),0,154729.05,0,0,-516.8,0,0,154212.25,july,2016,2016-07-01,2017
