county,gross_collections,foreign_collections,refunds,net_collections,month,year,date,fiscal_year
Wilkes,1261041.223818794,0,124673.603818794,1136367.62,april,2015,2015-04-01,2015
Wilson,1895113.102289111,0,176286.17228911098,1718826.93,april,2015,2015-04-01,2015
Yadkin,447571.794530856,0,18660.534530856,428911.26,april,2015,2015-04-01,2015
Yancey,230515.602972806,0,8631.492972805998,221884.11,april,2015,2015-04-01,2015
Alamance,4940475.8622283,0,74604.5722283,4865871.29,april,2016,2016-04-01,2016
Alexander,473166.03955178,0,5992.14955178,467173.89,april,2016,2016-04-01,2016
Alleghany,156702.53775125998,0,4299.85775126,152402.68,april,2016,2016-04-01,2016
Anson,362113.56900166,0,1639.2390016600002,360474.33,april,2016,2016-04-01,2016
Ashe,527954.90905872,0,36773.60905872,491181.3,april,2016,2016-04-01,2016
Avery,411711.98446082,0,7835.71446082,403876.27,april,2016,2016-04-01,2016
Beaufort,1008377.1098609,0,7305.8698608999985,1001071.24,april,2016,2016-04-01,2016
Bertie,203792.67359808,0,4166.06359808,199626.61,april,2016,2016-04-01,2016
Bladen,455035.50888256,0,42532.06888256,412503.44,april,2016,2016-04-01,2016
Brunswick,3061955.4718214,0,69157.4518214,2992798.02,april,2016,2016-04-01,2016
Buncombe,10126839.2992983,0,218034.0892983,9908805.21,april,2016,2016-04-01,2016
Burke,1558770.63481914,0,29808.65481914,1528961.98,april,2016,2016-04-01,2016
Cabarrus,6907479.58410122,0,348271.32410122,6559208.26,april,2016,2016-04-01,2016
Caldwell,1327379.51463356,0,8431.42463356,1318948.09,april,2016,2016-04-01,2016
Camden,108854.0824762,0,5056.5824762,103797.5,april,2016,2016-04-01,2016
Carteret,2090665.76614762,0,18533.26614762,2072132.5,april,2016,2016-04-01,2016
Caswell,159172.87890848,0,45415.53890848,113757.34,april,2016,2016-04-01,2016
Catawba,4941798.2018109,0,65174.2018109,4876624,april,2016,2016-04-01,2016
Chatham,1353782.7600876598,0,63826.35008766,1289956.41,april,2016,2016-04-01,2016
Cherokee,593378.3840298799,0,2165.52402988,591212.86,april,2016,2016-04-01,2016
Chowan,289357.72708352003,0,821.8270835199999,288535.9,april,2016,2016-04-01,2016
Clay,187932.80359808,0,463.71359808,187469.09,april,2016,2016-04-01,2016
Cleveland,1943852.83396738,0,16730.703967380003,1927122.13,april,2016,2016-04-01,2016
Columbus,919370.2487180801,0,11778.33871808,907591.91,april,2016,2016-04-01,2016
