county,gross_collections,taxable_sales,month,year,date,fiscal_year
Currituck,1000892.67,37829815,august,2000,2000-08-01,2001
Dare,6259510.98,182995547,august,2000,2000-08-01,2001
Davidson,2231828.36,106215377,august,2000,2000-08-01,2001
Davie,490724.95,22591757,august,2000,2000-08-01,2001
Duplin,562906.42,23841238,august,2000,2000-08-01,2001
Durham,10632837.31,304788824,august,2000,2000-08-01,2001
Edgecombe,714807.41,32625937,august,2000,2000-08-01,2001
Forsyth,10185051.18,436227614,august,2000,2000-08-01,2001
Franklin,560526.7,23565681,august,2000,2000-08-01,2001
Gaston,3534689.23,170891822,august,2000,2000-08-01,2001
Gates,35736.09,2772555,august,2000,2000-08-01,2001
Graham,111511.71,4838331,august,2000,2000-08-01,2001
Granville,487372.77,27857903,august,2000,2000-08-01,2001
Greene,100980.83,4700328,august,2000,2000-08-01,2001
Guilford,16739058.12,737264298,august,2000,2000-08-01,2001
Halifax,916341.58,38530978,august,2000,2000-08-01,2001
Harnett,1117057.36,44885533,august,2000,2000-08-01,2001
Haywood,1405194.23,54179312,august,2000,2000-08-01,2001
Henderson,2146423.21,82844590,august,2000,2000-08-01,2001
Hertford,560252.39,27114150,august,2000,2000-08-01,2001
Hoke,164099.51,6615293,august,2000,2000-08-01,2001
Hyde,256398.52,7841304,august,2000,2000-08-01,2001
Iredell,2954058.88,132943009,august,2000,2000-08-01,2001
Jackson,891716.67,31820313,august,2000,2000-08-01,2001
Johnston,2448258.94,105255961,august,2000,2000-08-01,2001
Jones,78436.71,3205054,august,2000,2000-08-01,2001
Lee,1345986,57327299,august,2000,2000-08-01,2001
Lenoir,1474889,65139349,august,2000,2000-08-01,2001
Lincoln,941644.37,40366682,august,2000,2000-08-01,2001
Macon,1227977.62,41728887,august,2000,2000-08-01,2001
Madison,121631.26,6592237,august,2000,2000-08-01,2001
Martin,514239.67,14901526,august,2000,2000-08-01,2001
McDowell,542358.26,33079340,august,2000,2000-08-01,2001
Mecklenburg,33160664.78,1310150870,august,2000,2000-08-01,2001
Mitchell,328848.27,14502074,august,2000,2000-08-01,2001
Montgomery,282467.17,19485342,august,2000,2000-08-01,2001
Moore,1882010.4,76057373,august,2000,2000-08-01,2001
Nash,2633789.26,112274310,august,2000,2000-08-01,2001
New Hanover,7336895.17,277132154,august,2000,2000-08-01,2001
Northampton,102617.13,5287544,august,2000,2000-08-01,2001
Onslow,2519473.81,90550345,august,2000,2000-08-01,2001
Orange,2538161.87,91987279,august,2000,2000-08-01,2001
Pamlico,115848.4,5986123,august,2000,2000-08-01,2001
Pasquotank,947111.93,49725472,august,2000,2000-08-01,2001
Pender,638322.87,27656097,august,2000,2000-08-01,2001
Perquimans,58106.1,2947808,august,2000,2000-08-01,2001
Person,545145.32,27116366,august,2000,2000-08-01,2001
Pitt,3529068.08,151590511,august,2000,2000-08-01,2001
Polk,200425.89,9293251,august,2000,2000-08-01,2001
Randolph,1995877.93,79351645,august,2000,2000-08-01,2001
Richmond,705583.77,29962880,august,2000,2000-08-01,2001
Robeson,1701795.91,72051303,august,2000,2000-08-01,2001
Rockingham,1295718.5,57862655,august,2000,2000-08-01,2001
Rowan,2098192.94,83022307,august,2000,2000-08-01,2001
Rutherford,1038522.29,41487164,august,2000,2000-08-01,2001
Sampson,816950.26,38433551,august,2000,2000-08-01,2001
Scotland,680630.48,23120577,august,2000,2000-08-01,2001
Stanly,1303030.98,51947742,august,2000,2000-08-01,2001
Stokes,309855.14,13489289,august,2000,2000-08-01,2001
Surry,1676371.47,79645651,august,2000,2000-08-01,2001
Swain,239377.27,11904945,august,2000,2000-08-01,2001
Transylvania,689836.31,24749877,august,2000,2000-08-01,2001
Tyrrell,26806.8,1195746,august,2000,2000-08-01,2001
Union,2597543.38,107869243,august,2000,2000-08-01,2001
Vance,913156.05,43030742,august,2000,2000-08-01,2001
Wake,25977610.82,968297448,august,2000,2000-08-01,2001
Warren,147265.76,6958067,august,2000,2000-08-01,2001
Washington,151087.92,8156573,august,2000,2000-08-01,2001
Watauga,1964366.77,69903986,august,2000,2000-08-01,2001
Wayne,2325252.29,88203882,august,2000,2000-08-01,2001
Wilkes,1152466.63,52639728,august,2000,2000-08-01,2001
Wilson,1905153.87,85731771,august,2000,2000-08-01,2001
Yadkin,399850.3,16463385,august,2000,2000-08-01,2001
Yancey,254644.15,9471926,august,2000,2000-08-01,2001
Foreign,42744847.79,1716885299,august,2000,2000-08-01,2001
Alamance,3385420.42,144822267,september,2000,2000-09-01,2001
Alexander,319046.82,18053217,september,2000,2000-09-01,2001
Alleghany,183145.87,6648270,september,2000,2000-09-01,2001
Anson,230369.87,11815031,september,2000,2000-09-01,2001
Ashe,340692.23,14268211,september,2000,2000-09-01,2001
Avery,506055.1,17910658,september,2000,2000-09-01,2001
Beaufort,929673.46,37791107,september,2000,2000-09-01,2001
Bertie,84526.27,5806464,september,2000,2000-09-01,2001
Bladen,430521.47,23076122,september,2000,2000-09-01,2001
Brunswick,2435289.34,80440215,september,2000,2000-09-01,2001
Buncombe,7525099.02,266014693,september,2000,2000-09-01,2001
Burke,1269891.52,63610425,september,2000,2000-09-01,2001
Cabarrus,4000530.23,154073350,september,2000,2000-09-01,2001
Caldwell,1193648.05,57448528,september,2000,2000-09-01,2001
Camden,51394.74,2815221,september,2000,2000-09-01,2001
Carteret,2329125,77559763,september,2000,2000-09-01,2001
Caswell,97482.84,5570963,september,2000,2000-09-01,2001
Catawba,4977342.4,213595304,september,2000,2000-09-01,2001
Chatham,630905.95,34764051,september,2000,2000-09-01,2001
Cherokee,618456.21,29213871,september,2000,2000-09-01,2001
Chowan,194619.64,8359489,september,2000,2000-09-01,2001
Clay,118981.3,7005680,september,2000,2000-09-01,2001
Cleveland,1754910.58,83221157,september,2000,2000-09-01,2001
Columbus,875734.1,38323087,september,2000,2000-09-01,2001
Craven,1817332.43,78779325,september,2000,2000-09-01,2001
Cumberland,6367843.77,245331867,september,2000,2000-09-01,2001
Currituck,854909.45,32262276,september,2000,2000-09-01,2001
Dare,5312045.16,156437029,september,2000,2000-09-01,2001
Davidson,2284869.93,107499378,september,2000,2000-09-01,2001
Davie,520823.02,22747202,september,2000,2000-09-01,2001
Duplin,580528.02,26878593,september,2000,2000-09-01,2001
